name,image_url
DeMar DeRozan,https://sportshub.cbsistatic.com/i/r/2018/09/26/c559ad3f-1aa5-4671-b50c-8ae97324194d/thumbnail/770x433/ffe1dbeb8c46adf6ced6f6f67226b59b/usatsi-11310511.jpg
Kevin Love,http://images.performgroup.com/di/library/omnisport/59/fc/kevin-love_1obkdumvd5b0m15kuhc5piyafh.jpg?t=-1134111725&w=960&quality=70
Kemba Walker,https://media.gq.com/photos/559ee0c25f1c7af15a1ef24e/master/pass/GettyImages-459625290.jpg
CJ McCollum,http://images.performgroup.com/di/library/omnisport/61/f8/mccollum-cj-getty-ftr_1bsgwrz9ksowd1gpklacn87fkg.jpg?t=1610218378&w=960&quality=70
Donovan Mitchell,https://www.yardbarker.com/media/b/a/ba4aef537e3881ce6e331e3f0992865efdb96013/thumb_16x9/USATSI_10423293.jpg
Jayson Tatum,https://givemesport.azureedge.net/images/18/05/01/c773d522b28a5717226267b3ffbb8fa9/960.jpg
Mike Conley,https://cdn.nba.net/_flysystem-style-redirect/tile/s3/2017-04/mike-conley-pose-03312017.jpg?itok=rTcFf6SX
Steven Adams,https://clutchpoints.com/wp-content/uploads/2018/04/Steven_Adams_says_he_s_not_dealing_with_any_injury.jpg
Blake Griffin,https://www.to10.gr/wp-content/uploads/2018/02/griffin-1.jpg
DeAndre Jordan,https://clutchpoints.com/wp-content/uploads/2018/06/deandre-jordan-2.jpg
Andre Drummond,https://image.mlive.com/home/mlive-media/width600/img/pistons_impact/photo/andre-drummond-556401cfa5089bb1.jpg
Jaylen Brown,https://imagesvc.timeincapp.com/v3/fan/image?url=https://chowderandchampions.com/wp-content/uploads/getty-images/2017/07/961184340.jpeg&c=sc&w=3200&h=2184
Devin Booker,https://cdn-s3.si.com/s3fs-public/2018/07/08/devin_booker_suns_.jpg
Eric Bledsoe,http://a1.espncdn.com/combiner/i?img=%2Fphoto%2F2017%2F1110%2Fr287284_1296x729_16%2D9.jpg
Jamal Murray,https://www.nba.com/nuggets/sites/nuggets/files/styles/story_main_photo/public/dn-jamal_0.jpg?itok=0s2hWyeu
Brandon Ingram,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRsYgjFaKr6ofIhkN5LkJoyuXxNdQ3SSQg84q7ufmP82V3jiJiY
Trae Young,https://wdef.com/wp-content/uploads/2018/10/young-1.jpg
Lonzo Ball,https://heavyeditorial.files.wordpress.com/2018/10/lonzoballdunk.jpg?quality=65&strip=all
Dennis Smith Jr.,https://cdn.vox-cdn.com/thumbor/0g8DY__outWl_mhEBFh0mdeQJEA=/0x0:4292x2861/1200x800/filters:focal(1715x503:2401x1189)/cdn.vox-cdn.com/uploads/chorus_image/image/59444623/933709430.jpg.0.jpg
